@relation Rel

@attribute Tweet string
@attribute ALL_CAPS_WORDS numeric
@attribute NEGATIVE_HASHTAGS numeric
@attribute CONSECUTIVE_QUESTION_MARKS numeric
@attribute POSITIVE_WORDS numeric
@attribute CONSECUTIVE_EXCLAMATIONS_MARKS numeric
@attribute ENLARGED_WORD numeric
@attribute NEGATIVE_WORDS numeric
@attribute POSITIVE_SMILIES numeric
@attribute ALL_CAPS numeric
@attribute NEGATIVE_SMILIES numeric
@attribute POSITIVE_HASHTAGS numeric
@attribute Sentiment {negative,positive}

@data
'bitch show love fake nigga hate',0,1,0,1,0,0,2,0,0,0,1,negative
'hate caus lot problem worldbut not_solv one yet quote URL',0,1,0,0,0,0,2,0,0,0,0,negative
'alway kind nightmares time year hate nightmares nightterrors',0,1,0,0,0,0,1,0,0,0,0,negative
'type relationship cats love hate cuddles URL',0,1,0,1,0,0,1,0,0,0,1,negative
'im realli start hate iphon major glitch bug io 8 worst ever apple iosdev hate MENTION',0,1,0,0,1,0,5,0,0,0,0,negative
'hate storms current massiv storm need leav get bus half hour pleas stop storms hate work',0,1,0,1,0,0,2,0,0,0,0,negative
'think piss akina bed boxer dog boxer hate laugh loud angry dog URL',0,1,0,1,0,0,3,0,0,0,0,negative
'yes teach black 2 hate realli help peopl DOTS MENTION URL',0,1,0,1,0,0,1,0,0,0,0,negative
'just say humanity lie truth words awkward hypocrite fake hate real reason people URL',0,1,0,0,0,0,5,0,0,0,0,negative
'peopl kill anim 4 not_reason evil u handl anim home 4 whatev reason give 2 someon can hate',0,1,0,0,0,0,3,0,0,0,0,negative
't minus 12 hour will road wors citi ever asu nopityforthekitty fthemildcats hate',1,1,0,0,0,0,2,0,0,0,0,negative
'alway URL qotd girls boys life relationships love hate clever URL',0,1,0,2,0,0,1,0,0,0,2,negative
'hate peopl much especi friday morn y r stupid wake fcking peopl god damn itduh',4,1,0,0,1,0,3,0,0,0,0,negative
'mayb hustle hard hate workhard URL',0,1,0,0,0,0,2,0,0,0,0,negative
'want clean leaf DOTS hate fall winter URL',0,1,0,1,0,0,2,0,0,0,0,negative
'hate snow much hate snow thissucks native canada canadianvinersgroup snowing winter wintersucks URL',0,1,0,0,0,0,2,0,0,0,0,negative
'hate caus lot problems world not_solv one yet mayaangelo',0,1,0,0,0,0,2,0,0,0,0,negative
'atleast happi fangirl life',0,0,0,1,0,0,0,1,0,0,0,positive
'adaaa rasaaa friday happi thank god',1,0,0,2,0,2,0,3,0,0,0,positive
'free today URL',1,0,0,1,0,0,0,1,0,0,0,positive
home,0,0,0,0,0,0,0,1,0,0,0,positive
'got need right passeng seat',0,0,0,1,0,0,0,1,0,0,0,positive
'good even',0,0,0,1,0,0,0,1,0,0,0,positive
'wait new music soon MENTION mtvstars justin bieber',0,0,0,0,0,0,0,1,0,0,0,positive
'goodnight talk bali',0,0,0,0,0,0,0,1,0,0,0,positive
'get touch bootcamp southend URL',0,0,0,0,0,0,0,1,0,0,0,positive
'will happi URL',1,0,0,1,0,0,0,1,0,0,0,positive
'good even',0,0,0,1,0,0,0,1,0,0,0,positive
'sister URL',0,0,0,0,0,0,0,1,0,0,0,positive
hi,1,0,0,0,0,0,0,1,0,0,0,positive
'hit like love scene URL',0,0,0,2,0,0,0,1,0,0,0,positive
'congrat MENTION',0,0,0,0,0,0,0,1,0,0,0,positive
'nice littl xmas pressi order made MENTION much tempt stuff display URL',0,0,0,2,0,0,0,1,0,0,0,positive
'never excit sim card thank MENTION MENTION danandphilsim URL',1,0,0,2,0,0,0,1,0,0,0,positive
'carnt wait tonight go twist go see MENTION excit',0,0,0,1,0,0,1,1,0,0,0,positive
'goodeven smt',1,0,0,0,0,0,0,1,0,0,0,positive
'man life gifts fragrance URL URL',0,0,0,0,0,0,0,1,0,0,0,positive
'first one arriv URL',0,0,0,0,0,0,0,1,0,0,0,positive
'perfect descript',1,0,0,1,0,0,0,1,0,0,0,positive
'haha dont mention u dont fanci � just not_lik hahah URL',0,0,0,2,0,0,0,1,0,0,0,positive
'mani good player teamoftheyear',1,0,0,1,0,0,0,1,0,0,0,positive
'glad came back life',0,0,0,1,0,0,0,1,0,0,0,positive
hi,0,0,0,0,0,0,0,1,0,0,0,positive
'happi lancer day MENTION',0,0,0,1,0,0,0,1,0,0,0,positive
'good even',0,0,0,1,0,0,0,1,0,0,0,positive
'new idea look URL',0,0,0,0,0,0,0,1,0,0,0,positive
'goood morn everyon',0,0,0,1,0,1,0,1,0,0,0,positive
'princess navya MENTION beauti URL',0,0,0,1,0,0,0,1,0,0,0,positive
'thank MENTION',1,0,0,1,0,0,0,1,0,0,0,positive
'hi everyon will use page often now pleas tell friend page can share',0,0,0,0,0,0,0,1,0,0,0,positive
'happi birthday ate MENTION',0,0,0,1,0,0,0,1,0,0,0,positive
heeey,1,0,0,0,0,1,0,1,0,0,0,positive
'woohoo 1000 follow two week thank guy',0,0,0,0,0,1,0,1,0,0,0,positive
'ok im home alon selfi time',2,0,0,0,0,0,0,2,0,0,0,positive
goodeven,0,0,0,0,0,0,0,1,0,0,0,positive
'lazi day chill grandpar',0,0,0,0,0,0,1,2,0,0,0,positive
'smile URL',0,0,0,1,0,0,0,1,0,0,0,positive
'goodluck maria sherapova',0,0,0,0,0,0,0,1,0,0,0,positive
'good even',0,0,0,1,0,0,0,1,0,0,0,positive
'dream make trip around world',0,0,0,0,0,0,0,1,0,0,0,positive
'whatev said will stay',0,0,0,0,0,0,0,1,0,0,0,positive
'beauti catch attent charact catch heart',0,0,0,1,0,0,0,1,0,0,0,positive
'sweetheart URL',0,0,0,1,0,0,0,0,0,0,0,positive
'lego travel URL',0,0,0,0,0,0,0,1,0,0,0,positive
'thank yah',0,0,0,0,0,0,0,1,0,0,0,positive
'got final URL',1,0,0,0,0,0,0,1,0,0,0,positive
goodnight,0,0,0,0,0,0,0,1,0,0,0,positive
'first meetup next weekend come around fast',0,0,0,1,0,0,0,1,0,0,0,positive
'happi birthday',0,0,0,1,0,0,0,1,0,0,0,positive
'new life DOTS URL',0,0,0,0,0,0,0,1,0,0,0,positive
'got wwe ticket morn',1,0,0,0,0,0,0,1,0,0,0,positive
'peopl home MENTION bank street social URL',0,0,0,0,0,0,0,1,0,0,0,positive
'mani thing look forward <3',0,0,0,0,0,0,0,0,0,0,0,positive
'love thank u mum <3 URL',0,0,0,2,0,0,0,0,0,0,0,positive
'loving hippos <3',2,0,0,1,0,0,0,0,0,0,0,positive
'happi babi',0,0,0,1,0,0,0,0,0,0,0,positive
'listen MENTION DOTS love <3',0,0,0,1,0,0,0,0,0,0,0,positive
'look URL',0,0,0,0,0,0,0,0,0,0,0,positive
later,0,0,0,0,0,0,0,0,0,0,0,positive
'love classmat <3',0,0,0,1,0,0,0,0,0,0,0,positive
'world <3 URL',1,0,0,0,0,0,0,0,0,0,0,positive
'like see time MENTION bring much colour love life',0,0,0,2,0,0,0,1,0,0,0,positive
'like kinda stuff <3 URL',0,0,0,1,0,0,0,0,0,0,0,positive
'<33<3 final 105 92 believ actual won <3',1,0,0,1,1,0,0,0,0,0,0,positive
'look URL',0,0,0,0,0,0,0,0,0,0,0,positive
'food trip atm',1,0,0,0,0,0,0,0,0,0,0,positive
'goodeveni <3',0,0,0,0,0,0,0,0,0,0,0,positive
'give love christma <3',0,0,0,1,0,0,0,0,0,0,0,positive
'look URL',0,0,0,0,0,0,0,0,0,0,0,positive
URL,0,0,0,0,0,0,0,0,0,0,0,positive
'realli realli u MENTION',0,0,0,0,0,0,0,0,0,0,0,positive
'rock world <3',0,0,0,0,0,0,0,0,0,0,0,positive
'boy love amaz mean everyth realli love pleas follow pleas beg MENTION 7 796',4,0,1,3,0,0,1,0,0,0,0,positive
'support cousin best <3',0,0,0,2,0,0,0,0,0,0,0,positive
'laugh receiv luck MENTION',0,0,0,1,0,0,0,0,0,0,0,positive
'oh god laugh 10 15 min pat MENTION love <3 MENTION URL',0,0,0,1,0,0,0,0,0,0,0,positive
'love blue hair',0,0,0,1,0,0,0,0,0,0,0,positive
'love love <3',0,0,0,2,0,0,0,0,0,0,0,positive
'wow error special stage amaz 3 vixx',0,0,0,2,0,0,1,0,0,0,0,positive
'birthday birthday will spend parent money haha <3 ___ $___$',0,0,0,0,0,2,0,0,0,0,0,positive
'visit 22 countri world <3 need travel travelstoke URL',0,0,0,0,0,0,0,0,0,0,0,positive
'final discov band royal blood <3 royalblood',0,0,0,0,0,0,0,0,0,0,0,positive
'ilov one boy life <3',7,0,0,0,0,0,0,0,0,0,0,positive
'dinner <3 thank continu bless guidanc',0,0,0,2,0,0,0,0,0,0,0,positive
'life treasur <3 URL',0,0,0,0,0,0,0,0,0,0,0,positive
'love starship traine <3 URL',0,0,0,1,0,0,0,0,0,0,0,positive
'want pizza',0,0,0,0,0,0,0,0,0,0,0,positive
'good morn',0,0,0,1,0,0,0,0,0,0,0,positive
'tell world _blank blank make happy santaswishlist URL',0,0,0,1,0,0,0,0,0,0,0,positive
'surpris wonder mood today enjoy gdjb right now ate tasti pizza hour ago pass exam morn happy',0,0,0,4,0,0,0,0,0,0,0,positive
'one mani peopl gave strength <3 thank happy thanksgivings � URL',0,0,0,2,0,0,0,0,0,0,0,positive
'happy URL',0,0,0,1,1,0,0,0,0,0,0,positive
'packag arriv happy URL',0,0,0,1,0,0,0,0,0,0,0,positive
'best feel happi happy made somebodi els happy happy weekend guy',0,0,0,5,0,0,0,0,0,0,0,positive
'smile wali best way make self happy URL',0,0,0,3,0,0,0,0,0,0,0,positive
'happy thanksgiving happy thanks giving thanks thanks festival day giving givethanks grateful � URL',0,0,0,4,0,0,0,0,0,0,0,positive
'happy friday friday happy mummy chanel chanellover chanladdict jerushaaddict klintonstyle justahawaiis DOTS URL',0,0,0,2,0,0,0,0,0,0,0,positive
'thank MENTION anoth beauti execut order happy',0,0,0,3,0,0,0,0,0,0,0,positive
'yeah book ticket see hellogoodbye MENTION februari happy',0,0,0,1,0,0,0,0,0,0,0,positive
'happy friday everyone thank everyone following retweeting favorites URL',0,0,0,2,0,0,0,0,0,0,0,positive
'beauti scarv love clutch bag just arriv MENTION love ff happy URL',0,0,0,4,0,0,0,0,0,0,1,positive
'let us tri one good day love peace happy true URL',0,0,1,4,0,0,0,0,0,0,1,positive
'life now complet sophiawebster samplesale love shoes happy birthday URL',0,0,0,2,0,0,0,0,0,0,1,positive
'happy 14 way happier via MENTION URL bwn happy inspiration success motivation',0,0,0,5,0,0,0,0,0,0,1,positive
'yay just reach 100 follow thank everyon happy travel love plantbased',0,0,0,3,0,0,0,0,0,0,1,positive
'say merry christmas someon special hug box URL personalised gift hug happy uk URL',3,0,0,4,0,0,0,0,0,0,0,positive
'best thnaksgiv ever happy thanksgiv URL <3 te amo URL',3,0,0,2,0,0,0,0,0,0,0,positive
'mum best first black friday purchas coat happy',0,0,0,2,0,0,0,0,0,0,0,positive
'two wonder peopl just told fantast news happy perfect know',0,0,0,4,0,0,0,0,0,0,1,positive
'readi move new 3 bedroom apart wait',0,0,0,1,0,0,0,1,0,0,0,positive
'subscrib coolgamergirl escapad youtub great weekend everyon',0,0,0,1,0,0,0,1,0,0,0,positive
'shot week work 2 love bedroom 2 love children � feel proud',0,0,0,4,0,0,0,1,0,0,0,positive
'good nigh nice dream ndut',0,0,0,2,0,0,0,1,0,0,0,positive
'fantast way end week student stay back friday improv handwrit inspired MENTION',0,0,0,2,0,0,0,3,0,0,1,positive
'ohhh pleas',0,0,0,0,0,1,0,1.5,0,0,0,positive
'rcl1milliongiveaway hi rachel congratul 1million subscrib pleas read entri URL',0,0,0,1,0,0,0,1,0,0,0,positive
'thank MENTION round applaus MENTION part believ actual done high school',1,0,0,1,0,0,0,1,0,0,0,positive
'got new pokemon URL',1,0,0,0,1,0,0,1,0,0,0,positive
'goooll URL',0,0,0,0,0,1,0,1.5,0,0,0,positive
'birthday shoutout twin MENTION happi birthday dear twin wish good year ahead',0,0,0,2,0,0,0,1,0,0,0,positive
'rcl1milliongiveaway hi rachel congratul 1million subscrib pleas read entri URL',0,0,0,1,0,0,0,1,0,0,0,positive
'hi pleas call back 3',0,0,0,0,0,0,0,1,0,0,0,positive
'maliyah pretti MENTION URL',0,0,0,1,0,0,0,1,0,0,0,positive
'MENTION MENTION MENTION MENTION MENTION MENTION good even queen beauti URL',0,0,0,1,0,0,0,1,0,0,0,positive
'black friday shop great love',0,0,0,2,0,0,0,1,0,0,0,positive
'wish start everi day long hike URL',0,0,0,0,0,0,0,1,0,0,0,positive
'done 2pm cant wait hangout korbyn <3 good boy',0,0,0,1,0,0,0,1,0,0,0,positive
'sleep beauti',0,0,0,1,0,0,0,1,0,0,0,positive
'good night',0,0,0,1,0,0,0,1,0,0,0,positive
'everyth ok',1,0,0,0,0,0,0,1,0,0,0,positive
'whoareyou MENTION love song girl simpli perfect',0,0,0,2,0,0,0,1,0,0,0,positive
'stay aunt bev uncl colin hous look forward 2 go 2 spend time 2 cousin laugh loud',0,0,0,1,0,0,0,1,0,0,0,positive
'birthday activ last year URL URL',0,0,0,0,0,0,0,1,0,0,0,positive
'yay sniffi found DOTS not_ask DOTS just pleas',1,0,0,2,1,0,0,1,0,0,0,positive
'myterms DOTS not_even know yet not_disrespect intend DOTS life thank DOTS URL',3,0,0,1,0,0,1,1,0,0,0,positive
'thank trish saya MENTION',0,0,0,1,0,0,0,1,0,0,0,positive
'goodnight na may sweet',1,0,0,1,0,0,0,1.5,0,0,0,positive
'final MENTION watch teaser trailer star war forc awaken URL',1,0,0,0,0,0,0,1,0,0,0,positive
'star war episod vii teaser URL wow now teaser trailer now get name forc awaken',4,0,0,1,0,0,0,1,0,0,0,positive
'good night gone steelheart � URL',0,0,0,1,0,0,0,1,0,0,0,positive
hey,1,0,0,0,0,0,0,1,0,0,0,positive
'happi birthdayyy MENTION URL',0,0,0,1,0,1,0,1,0,0,0,positive
follow,2,0,0,0,0,0,0,1,1,0,0,positive
'get see gf today MENTION',0,0,0,0,0,0,0,1,0,0,0,positive
'bless love waaay MENTION morn bro MENTION great one',1,0,0,2,1,1,0,1,0,0,0,positive
'brilliant URL',0,0,0,1,0,0,0,1,0,0,0,positive
'look forward MENTION christmas festiv weekend come say hello sat&sun 10 4pm wakefield art cards handmade',0,0,0,0,0,0,0,1,0,0,0,positive
'treat bodi like trophi clean take care import display everyon see',0,0,0,3,0,0,0,1,0,0,0,positive
'got p atd ah shirt happi',3,0,0,1,0,0,0,1,0,0,0,positive
'happi thank give american',1,0,0,1,0,0,0,1,0,0,0,positive
'shirleen singh love URL',0,0,0,1,0,0,0,2,0,0,0,positive
'one day not_today',0,0,0,0,0,0,0,1,0,0,0,positive
'onlin check / URL URL',0,0,0,0,1,0,0,1,0,0,0,positive
'follow & spring season start',0,0,0,0,0,0,0,1,0,0,0,positive
'peopl world crack',0,0,0,0,0,0,1,1,0,0,0,positive
'final found decent anim app phone',1,0,0,1,0,0,0,1,0,0,0,positive
'end now just okay',0,0,0,0,0,0,0,1,0,0,0,positive
'tonight shall fun',0,0,0,1,0,0,0,1,0,0,0,positive
'anybodi lf1 hit MENTION sound guy great player rts appreci',1,0,0,2,0,0,0,1,0,0,0,positive
'save feel thank',0,0,0,1,0,0,0,1,0,0,0,positive
'holi sweet lordi ten subscrib eeehhhkkk happi day amaz yay new vid soon',1,0,0,5,5,3,0,1,0,0,0,positive
'lot peopl read blog URL ski snowboard season seasonaire',0,0,0,0,0,0,0,1,0,0,0,positive
'skype us',0,0,0,0,0,0,0,1,0,0,0,positive
'super quick sketch hope like MENTION URL',1,0,0,2,0,0,0,1,0,0,0,positive
'good night nice dream',0,0,0,2,0,0,0,1,0,0,0,positive
'four day till birthday',0,0,0,0,0,0,0,1,0,0,0,positive
'thank topnewfollowers MENTION MENTION MENTION MENTION happi connect via URL',0,0,0,1,0,0,0,1,0,0,0,positive
'happi URL',1,0,0,1,0,0,0,1,0,0,0,positive
'hilari old wd40 ad URL',0,0,0,1,0,0,0,1,0,0,0,positive
goodnight,0,0,0,0,0,0,0,1,0,0,0,positive
'nice haul gotta go back make sure get liara & wrex though URL',0,0,0,1,0,0,0,1,0,0,0,positive
'watch grandma hous week',0,0,0,0,0,0,0,1,0,0,0,positive
'one perfect fine lenye2 sunday DOTS',0,0,0,2,0,0,0,1,0,0,0,positive
'thank topnewfollowers MENTION MENTION MENTION MENTION happi connect insight URL',0,0,0,1,0,0,0,1,0,0,0,positive
'like scratch peopl back bc make happi',0,0,0,2,0,0,0,1,0,0,0,positive
'jasmine sweeti sweeti chocol dairymilk MENTION candy jasmine bestday URL',0,0,0,0,0,0,0,1,0,0,0,positive
'love snow yeg snow cozy URL',0,0,0,2,0,0,0,1,0,0,0,positive
'never run game ever just chill enjoy love',0,0,0,2,0,0,1,1,0,0,0,positive
'draw amaz x factor weekend 2 URL winner & rais huge amount thank sponsor MENTION URL',1,0,0,2,0,0,0,1,0,0,0,positive
'happi birthday dearest MENTION may allah bless life love',0,0,0,3,0,0,0,1,0,0,0,positive
'famili absolut ador craig couldnt happier',0,0,0,1,0,0,0,1,0,0,0,positive
'stream bit come join like URL',0,0,0,1,0,0,0,1,0,0,0,positive
'black friday success broke yay',0,0,0,2,0,0,1,2,0,0,0,positive
'free today gift black friday happi cyber shop raven k asher book black friday freebi URL',1,0,0,2,0,0,0,1,0,0,0,positive
'love youuu',0,0,0,1,0,1,0,1,0,0,0,positive
'love littl evelyn MENTION URL',0,0,0,1,0,0,0,1,0,0,0,positive
'blow money prank extra URL via MENTION MENTION great video',1,0,0,1,0,0,0,1,0,0,0,positive
'wanna chill tonight text',0,0,0,0,0,0,1,1,0,0,0,positive
'alway allow dream',0,0,0,0,0,0,0,1,0,0,0,positive
'ff_special MENTION hamesha se classi bnda hai ye nice person',0,0,0,2,0,0,0,1,0,0,0,positive
'hello thanksgiv love littl munchkin URL',0,0,0,1,0,0,0,1,0,0,0,positive
'goodmorn puppi via /r/aww URL',0,0,0,0,0,0,0,1,0,0,0,positive
'glenn beck theblaz theblaz radio network laugh loud URL',2,0,0,1,0,0,0,1,0,0,0,positive
'stay URL wonder still smile blue batman URL',0,0,0,2,0,0,0,1,0,0,0,positive
'realli excit movi & light favourit peopl tomorrow',0,0,0,1,0,0,0,1,0,0,0,positive
'love best friend MENTION call sing happi birthday differ rendit everi year love',0,0,0,4,0,0,0,1,0,0,0,positive
'love feel abl buy peopl thing',0,0,0,1,0,0,0,1.5,0,0,0,positive
'nice day URL',0,0,0,1,0,0,0,1,0,0,0,positive
'head town short see love MENTION',1,0,0,1,0,0,0,1,0,0,0,positive
'thank god hang one bestfriend ha yeah time fun',0,0,0,2,0,0,0,1,0,0,0,positive
'morn URL',0,0,0,0,0,0,0,1,0,0,0,positive
'finland said yes sex marriag final good decis tahdon tahdon2014 URL',0,0,0,1,0,0,0,1,0,0,0,positive
'thank love support last night guy will see later go watch fifi URL',0,0,0,2,0,0,0,1,0,0,0,positive
'effort thank MENTION love URL',0,0,0,2,0,0,0,2,0,0,0,positive
'pleas support stori thankyou URL',0,0,0,1,0,0,0,1,0,0,0,positive
'crazi & dysfunct know love love love famili much joy URL',0,0,0,4,0,0,1,1,0,0,0,positive
'stop send funni post hahaha MENTION go studyyi will not_repli',1,0,0,1,0,1,1,1,0,0,0,positive
'choos zayn malik francisco lachowski � obvious francisco lachowski hahaha URL',1,0,0,0,0,0,0,1,0,0,0,positive
'thank topcommunitymembers MENTION MENTION happi engag insight URL',0,0,0,1,0,0,0,1,0,0,0,positive
'hi guy istanbul turkey turkishboy view sport igers polish girl polish russian russiangirl � URL',0,0,0,0,0,0,0,1,0,0,0,positive
'just fun URL',0,0,0,1,0,0,0,1,0,0,0,positive
'thank topcommunitymembers MENTION MENTION MENTION MENTION happi engag insight URL',0,0,0,1,0,0,0,1,0,0,0,positive
'check lip dub lou bega mambo 5 hope guy like MENTION lipdup funfriday URL',0,0,0,1,0,0,0,1,0,0,0,positive
'congrat friend pass ufe go celebr deserv',0,0,0,1,0,0,0,1,0,0,0,positive
'yes know talent drawing love imagine thefall theview amas coolkids MENTION URL',0,0,0,2,0,0,0,1,0,0,1,positive
'megdeaangelisgiveaway megdeaangelisgiveaway pleasee URL',0,0,0,0,0,1,0,1.5,0,0,0,positive
'back gym xx',1,0,0,0,0,0,0,1,0,0,0,positive
'alright alright thank much love',0,0,1,2,3,0,0,11,0,0,0,positive
'great time watch MENTION stream MENTION come join let fun URL',0,0,0,2,0,0,0,1,0,0,0,positive
'final got phone happi',0,0,0,1,0,0,0,1,0,0,0,positive
'excit christmasiscoming URL',1,0,0,1,0,0,0,1,0,0,0,positive
'tri enjoy break two paper write',0,0,0,1,0,0,1,3,0,0,0,positive
'help smile see x wing fighter fli format star war forc awaken offici teaser URL',0,0,0,1,0,0,0,1,0,0,0,positive
'astro comin soon',0,0,0,0,0,0,0,1,0,0,0,positive
'look like confirm first ever gig itali someth e ect year DOTS realli excit info soon',0,0,0,2,0,0,0,2,0,0,0,positive
'sister forc go dad hous today birthday nice',0,0,0,1,0,0,0,1,0,0,0,positive
'get iphon 6 today yaya thank black friday sale get christma present earli',0,0,0,1,1,0,0,1,0,0,0,positive
'happi friday philadelphia enjoy rest long weekend URL thanksgivingweekend DOTS URL',0,0,0,2,0,0,0,1,0,0,0,positive
'thankyouuu twincam club kendal',1,0,0,0,0,1,0,1,0,0,0,positive
'hello grade 12 youth job recommend follow MENTION MENTION',0,0,0,1,0,0,0,1,0,0,0,positive
'hope everyon good turkey day URL',0,0,0,1,0,0,0,1,0,0,0,positive
'thank much rts & fave haaappi weekend MENTION MENTION MENTION MENTION MENTION',0,0,0,0,0,1,0,1,0,0,0,positive
'im excit summer visit spain franc germani gonna great',1,0,0,2,0,0,0,1,0,0,0,positive
'thank everyon featur followfridays import reward thank',0,0,0,2,0,0,0,1,0,0,0,positive
'get 10k favorit not_real fuck way back bout now',0,0,0,0,0,0,1,1,0,0,0,positive
'hii harri xx hope well thank amaz album pleas follow today love MENTION',0,0,0,3,0,0,0,1,0,0,0,positive
'5yearsofbigtimerush MENTION MENTION MENTION MENTION thank amaz year URL',0,0,0,1,0,0,0,1,0,0,0,positive
weekend,1,0,0,0,0,0,0,1,0,0,0,positive
'sure MENTION MENTION okay tri sajna farhan saeed',0,0,0,0,1,0,0,2,0,0,0,positive
'get like 100 thing final found someth tj',1,0,0,1,0,0,0,1.5,0,0,0,positive
'snuggl kid',0,0,0,0,0,0,0,1,0,0,0,positive
'partyyi tonight yesss',3,0,0,0,1,2,0,1,1,0,0,positive
'never late earli fluffi sock',1,0,0,0,0,0,0,1,0,0,0,positive
'clean jam shmoke not_i will keep ya post cam time today not_sur plan yet',0,0,0,0,0,0,0,1,0,0,0,positive
'friendship heart warm URL',0,0,0,0,0,0,0,1,0,0,0,positive
'robin streamt gaming music fun uRL',1,0,0,1,0,0,0,1,0,0,0,positive
thank,0,0,0,1,0,0,0,1,0,0,0,positive
'sharon fruit & ground mix nut hmmm vit c overload necessari dad creation happi friday xx URL',1,0,0,1,0,1,0,1,0,0,0,positive
'love littl music lover URL',0,0,0,1,0,0,0,1,0,0,0,positive
'happi allumdillah',0,0,0,1,0,0,0,1,0,0,0,positive
'hope everyon wonder weekend check latest studio endeavor 3b4jhoy URL',0,0,0,1,0,0,0,1,0,0,0,positive
'new starwarstrailer super excit look amaz starwarsepisodevii',0,0,0,3,0,0,0,1,0,0,0,positive
'MENTION make heart smile URL',0,0,1,1,0,0,0,1,0,0,0,positive
'appar yeg know much love snow',0,0,0,1,0,0,0,1,0,0,0,positive
'thank topcommunitymembers MENTION MENTION MENTION happi engag insight URL',0,0,0,1,0,0,0,1,0,0,0,positive
'look join let know im inact check tomorrow pleas everyon',0,0,0,0,0,0,0,1,0,0,0,positive
'look came mail today MENTION URL',0,0,0,0,0,0,0,1,0,0,0,positive
goodnight,0,0,0,0,0,0,0,1,0,0,0,positive
'good night',1,0,0,1,0,0,0,1,0,0,1,positive
'star war',3,0,0,0,0,0,0,1,1,0,0,positive
'beauti photo ice rider world oldest lake URL',0,0,0,1,0,0,0,1,0,0,0,positive
'rob forev surpris us',0,0,0,0,0,0,0,1,0,0,0,positive
'congrats MENTION',0,0,0,0,0,0,0,1.5,0,0,0,positive
'good night friend uRL',3,0,0,1,0,0,0,1.5,0,0,0,positive
'love baekhyun love eyesmil',0,0,0,2,0,0,0,1,0,0,0,positive
'anyon wanna hang tonight',0,0,0,0,0,0,1,1,0,0,0,positive
'buy peopl nice gift money make happi',0,0,0,2,0,0,0,1,0,0,0,positive
'travel thing buy make richer roadtrip yay URL',1,0,0,2,0,0,0,1,0,0,0,positive
'just nap',0,0,0,0,0,0,0,1,0,0,0,positive
'done MENTION robin top choic URL day left cast vote',0,0,0,1,0,0,0,1,0,0,0,positive
'hey MENTION final made nz ny see show cantwait URL',1,0,0,0,0,0,0,1,0,0,0,positive
'just woke',0,0,0,0,0,0,0,1,0,0,0,positive
'everyday letter goodnight dongha oppa love leedongha URL',0,0,0,1,1,0,0,2,0,0,0,positive
'check right now pump play',0,0,0,1,0,0,0,1,0,0,0,positive
'alway keep happiness happiness behappy good day design dilpakg URL',0,0,0,3,0,0,0,1,0,0,2,positive
'good night',0,0,0,1,0,0,0,1,0,0,0,positive
'say weed bad can caus death give will suffer thankyou',0,0,0,0,0,0,4,1,0,0,0,positive
'happi birthday ps4',0,0,0,1,0,0,0,1,0,0,0,positive
'sweet potato pie breakfast',0,0,0,1,0,0,0,1,0,0,0,positive
'back thanksgiv 4 year ago URL URL',0,0,0,0,0,0,0,1,0,0,0,positive
'babi best clean room',0,0,0,1,0,0,0,1,0,0,0,positive
'happi birthday MENTION hug thank amaz voic congratul trance � URL',0,0,0,3,2,0,0,1,0,0,0,positive
'love nice relax even',0,0,0,2,0,0,0,1,0,0,0,positive
'happi birthday cuti MENTION',0,0,0,1,0,0,0,1,0,0,0,positive
'babi will everyth everyth boy like girl � URL',0,0,0,1,0,0,0,1,0,0,0,positive
'black friday shop success',0,0,0,1,0,0,0,1,0,0,0,positive
happi,0,0,0,1,0,0,0,1,0,0,0,positive
'life better drunk beerforthat',2,0,0,1,0,0,1,2,0,0,0,positive
'ok now offici chrisma season happier',0,0,0,1,0,0,0,1.5,0,0,0,positive
'just saw window thrive MENTION happi paint today',0,0,0,2,0,0,0,1,0,0,0,positive
'home alon watch homealone DOTS yeeaaahhh buddi',1,0,0,0,0,2,0,1,0,0,0,positive
'so happy',2,0,0,1,0,0,0,1.5,1,0,0,positive
'MENTION p haha good weekend dear friend',0,0,0,1,0,0,0,1,0,0,0,positive
'go paintbal boyfriend birthday tomorrow',0,0,0,0,0,0,0,1,0,0,0,positive
'URL MENTION awesom song bajnachahiyegaana MENTION',0,0,0,1,0,0,0,1,0,0,0,positive
glad,0,0,0,1,0,0,0,1,0,0,0,positive
'spinnin deck residenti club music studio djlife hardcastl3 theotherone � URL',0,0,0,0,0,0,0,1,0,0,0,positive
